## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.rating,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
Prod1,,Shirts,,,,,,,2.90,,,,,,,,,,
Prod2,,Jeans,,,,,,,1.51,,,,,,,,,,
Prod3,,Watches,,,,,,,3.59,,,,,,,,,,
Prod4,,Wallets,,,,,,,0.12,,,,,,,,,,
Prod5,,Watches,,,,,,,1.49,,,,,,,,,,
Prod6,,Shirts,,,,,,,4.55,,,,,,,,,,
Prod7,,Wallets,,,,,,,3.44,,,,,,,,,,
Prod8,,Shirts,,,,,,,2.01,,,,,,,,,,
Prod9,,Watches,,,,,,,3.65,,,,,,,,,,
Prod10,,Wallets,,,,,,,0.98,,,,,,,,,,
Prod11,,Jeans,,,,,,,3.16,,,,,,,,,,
Prod12,,Jeans,,,,,,,2.75,,,,,,,,,,
Prod13,,Watches,,,,,,,2.29,,,,,,,,,,
Prod14,,Wallets,,,,,,,0.17,,,,,,,,,,
Prod15,,Shirts,,,,,,,0.92,,,,,,,,,,
Prod16,,Shirts,,,,,,,4.20,,,,,,,,,,
Prod17,,Jeans,,,,,,,2.92,,,,,,,,,,
Prod18,,Jeans,,,,,,,2.91,,,,,,,,,,
Prod19,,Watches,,,,,,,2.04,,,,,,,,,,
Prod20,,Shirts,,,,,,,3.62,,,,,,,,,,
