## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.color,entity.color url,entity.rating,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
srs_1,srs1,srs,,https://pics.drugstore.com/prodimg/581921/450.jpg,12,,,,"[""red"",""green"",""yellow""]","[""https://pics.drugstore.com/prodimg/542558/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542556/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542561/plain_50.jpg""]",4.8,,,,,,,,
srs_2,srs2,srs,,https://pics.drugstore.com/prodimg/582268/450.jpg,22,,,,"[""orange"",""blue"",""pink""]","[""https://pics.drugstore.com/prodimg/542539/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542560/plain_50.jpg"",""https://pics.drugstore.com/prodimg/179742/plain_50.jpg""]",4.9,,,,,,,,
srs_3,srs3,srs,,"	https://pics.drugstore.com/prodimg/624255/450.jpg",52,,,,"[""cyan"",""babypink"",""black""]","[""https://pics.drugstore.com/prodimg/542558/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542556/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542561/plain_50.jpg""]",5,,,,,,,,
srs_4,srs4,srs,,"	https://pics.drugstore.com/prodimg/542449/450.jpg",25,,,,"[""black"",""white"",""blue""]","[""https://pics.drugstore.com/prodimg/542539/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542560/plain_50.jpg"",""https://pics.drugstore.com/prodimg/179742/plain_50.jpg""]",4.2,,,,,,,,
srs_5,srs5,srs,,"	https://pics.drugstore.com/prodimg/525387/450.jpg",30,,,,"[""green"",""blue"",""red""]","[""https://pics.drugstore.com/prodimg/542558/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542556/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542561/plain_50.jpg""]",3.2,,,,,,,,
srs_6,srs6,srs,,"	https://pics.drugstore.com/prodimg/445396/450.jpg",18,,,,"[""yellow"",""white"",""black""]","[""https://pics.drugstore.com/prodimg/542539/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542560/plain_50.jpg"",""https://pics.drugstore.com/prodimg/179742/plain_50.jpg""]",4.6,,,,,,,,
srs_7,srs7,xyz,,"	https://pics.drugstore.com/prodimg/58118/450.jpg",30,,,,"[""abc"",""xyz"",""pqr""]","[""https://pics.drugstore.com/prodimg/542558/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542556/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542561/plain_50.jpg""]",2.3,,,,,,,,
srs_8,srs8,xyz,,"	https://pics.drugstore.com/prodimg/445392/450.jpg",26,,,,"[""abc"",""xyz"",""pqr""]","[""https://pics.drugstore.com/prodimg/542539/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542560/plain_50.jpg"",""https://pics.drugstore.com/prodimg/179742/plain_50.jpg""]",3.4,,,,,,,,
srs_9,srs9,xyz,,https://pics.drugstore.com/prodimg/518316/450.jpg,20,,,,"[""abc"",""xyz"",""pqr""]","[""https://pics.drugstore.com/prodimg/542558/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542556/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542561/plain_50.jpg""]",4.6,,,,,,,,
srs_10,srs10,xyz,,"	https://pics.drugstore.com/prodimg/444948/450.jpg",34,,,,"[""abc"",""xyz"",""pqr""]","[""https://pics.drugstore.com/prodimg/542539/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542560/plain_50.jpg"",""https://pics.drugstore.com/prodimg/179742/plain_50.jpg""]",4,,,,,,,,
